"ageGroup","NDR.HbA1c (mmol/mol)","NDR.HbA1c <52 (Andel %)","NDR.HbA1c >70 (Andel %)","NDR.Insulinbehandlade med insulinpump (Andel %)","NDR.Insulinbehandlade med CGM (Andel %)","NDR.n_patienter_2013","NDR.n_patienter_2016","NDR.patientTillväxt (%)","Landsting"
"20-29",64.9,19.7,2.6,10.2,50.6,201,242,20.3980099502488,"Södermanlands län "
"20-29",61.4,25.5,NA,NA,45.5,36,55,52.7777777777778,"Region Gotland "
"20-29",62.9,21.9,3.3,9.3,40.4,237,289,21.9409282700422,"Örebros län "
"20-29",64,20.6,2.1,15.6,53.3,188,228,21.2765957446809,"Dalarnas län "
"20-29",62.1,27.1,2,9.9,41.4,463,523,12.9589632829374,"Östergötlands län "
"20-29",63.5,20.4,1.8,9.5,40.1,254,317,24.8031496062992,"Jönköpings län "
"20-29",63.2,24,2.9,14.5,10.7,193,197,2.07253886010363,"Kronobergs län "
"20-29",63.5,22,2.6,9.7,42,187,207,10.6951871657754,"Kalmars län "
"20-29",63.7,21.8,2,12.1,25,239,261,9.20502092050208,"Gävleborgs län "
"20-29",57.2,36.1,2.8,12.3,37.5,154,162,5.1948051948052,"Västernorrlands län "
"20-29",62.4,26,4.5,5.6,58.3,75,96,28,"Jämtlands län "
"20-29",63.4,26.6,2.2,9.9,42.1,237,280,18.1434599156118,"Västerbottens län "
"20-29",64.1,19.7,0.6,10.2,17.4,180,178,-1.11111111111111,"Norrbotten "
"20-29",62,24.2,4.3,7.4,56.6,209,290,38.755980861244,"Region Halland "
"20-29",62.1,26.2,2.6,9.6,56.3,1313,1584,20.6397562833206,"Västra Götalands region "
"20-29",61.7,21.6,2.5,7.6,20.6,1181,1356,14.817950889077,"Stockholms län "
"20-29",62.2,22.6,2,5.5,31,348,342,-1.72413793103449,"Uppsalas län "
"20-29",61,28.7,0.8,10.3,49.6,116,138,18.9655172413793,"Blekinge län "
"20-29",62.2,26.1,3.1,8.7,30.9,804,1032,28.3582089552239,"Region Skåne "
"20-29",64.8,20.1,0.9,12.5,38.8,239,242,1.25523012552302,"Värmlands län "
"20-29",65.2,19.9,2.9,9.2,28.8,168,219,30.3571428571429,"Västmanlands län "
"30-39",59.5,26.5,0.9,10.5,16.5,1263,1419,12.3515439429929,"Stockholms län "
"30-39",60.4,26.7,0,17,30.1,236,266,12.7118644067797,"Uppsalas län "
"30-39",64.6,20.1,2.7,11.6,43,190,181,-4.73684210526316,"Södermanlands län "
"30-39",61.1,23.7,0.7,14.5,43.4,347,365,5.18731988472623,"Östergötlands län "
"30-39",62.5,23.7,0.9,16.2,35.9,248,254,2.41935483870968,"Jönköpings län "
"30-39",61.6,16,2.1,10.5,14.8,160,163,1.875,"Kronobergs län "
"30-39",60.4,25,1.8,19.5,34.2,144,162,12.5,"Kalmars län "
"30-39",60.9,20.8,NA,NA,47.2,40,53,32.5,"Region Gotland "
"30-39",60.2,25.7,1,11.5,51.8,95,113,18.9473684210526,"Blekinge län "
"30-39",60.6,27,0.9,14.4,35.7,723,941,30.1521438450899,"Region Skåne "
"30-39",58.8,26.1,1.5,10.3,53.6,183,208,13.6612021857923,"Region Halland "
"30-39",59.1,29.7,1.1,10.5,58.5,1191,1301,9.23593618807725,"Västra Götalands region "
"30-39",63.5,16.9,1.7,19.2,40.8,174,185,6.32183908045978,"Värmlands län "
"30-39",60.8,23.1,1.1,16.7,50.6,225,257,14.2222222222222,"Örebros län "
"30-39",61.6,25.8,0.6,17.5,31.1,143,196,37.0629370629371,"Västmanlands län "
"30-39",62.2,24.2,0,21.2,53.8,179,223,24.5810055865922,"Dalarnas län "
"30-39",60.7,24.6,1.8,11.4,24.7,187,171,-8.55614973262032,"Gävleborgs län "
"30-39",59,34.9,0,16,40.5,153,153,0,"Västernorrlands län "
"30-39",60.5,20.3,1.6,15.9,42.1,68,79,16.1764705882353,"Jämtlands län "
"30-39",61.2,20.8,0.7,13.3,51.6,205,219,6.82926829268293,"Västerbottens län "
"30-39",63.9,15.1,0,15.1,12.2,116,139,19.8275862068966,"Norrbotten "
"40-49",61.3,20.8,0.3,12.2,16.3,1350,1485,10,"Stockholms län "
"40-49",62.4,16,1.3,20.8,29.7,291,271,-6.87285223367697,"Uppsalas län "
"40-49",62.5,21.2,0,19,45.1,255,238,-6.66666666666667,"Södermanlands län "
"40-49",61.6,19.7,0.6,17.1,39.7,419,428,2.14797136038185,"Östergötlands län "
"40-49",62.1,23.6,1.6,14.7,37.1,319,358,12.2257053291536,"Jönköpings län "
"40-49",62.5,17.7,0.7,16,9.7,176,174,-1.13636363636364,"Kronobergs län "
"40-49",61.5,21,0,22.1,41.8,167,166,-0.598802395209586,"Kalmars län "
"40-49",NA,NA,NA,NA,NA,34,46,35.2941176470588,"Region Gotland "
"40-49",61.4,20.9,0,14.6,48.2,146,167,14.3835616438356,"Blekinge län "
"40-49",62.3,19.9,0.2,15.3,32.8,846,967,14.3026004728132,"Region Skåne "
"40-49",60.5,23.2,0.8,11.5,50.9,248,271,9.2741935483871,"Region Halland "
"40-49",59.6,25.9,0.5,12.6,57.7,1423,1507,5.90302178496136,"Västra Götalands region "
"40-49",64.7,13.6,0,21.3,40.1,268,264,-1.49253731343284,"Värmlands län "
"40-49",62.3,14.5,0,18.1,50.4,305,279,-8.52459016393443,"Örebros län "
"40-49",62.2,18.1,0.5,19.4,29.3,233,239,2.57510729613735,"Västmanlands län "
"40-49",61.7,21.7,0.5,18.8,51.9,222,243,9.45945945945945,"Dalarnas län "
"40-49",61.9,16.8,0,18.2,28.4,217,208,-4.14746543778802,"Gävleborgs län "
"40-49",60.6,22.8,1.4,20.9,37.9,186,182,-2.1505376344086,"Västernorrlands län "
"40-49",60.8,27.3,0,17.9,38.7,84,77,-8.33333333333334,"Jämtlands län "
"40-49",64.4,14.7,0,15.6,48.5,201,198,-1.49253731343284,"Västerbottens län "
"40-49",63.4,13.5,2.2,18.2,13.5,121,148,22.3140495867769,"Norrbotten "
"50-59",62.2,17.4,0.7,13.3,16,1147,1373,19.7035745422842,"Stockholms län "
"50-59",64.1,15,1.3,18.4,25.5,268,279,4.1044776119403,"Uppsalas län "
"50-59",62.8,18.2,0,17.4,46.2,252,243,-3.57142857142857,"Södermanlands län "
"50-59",62.6,12.6,0.9,21,34.2,382,395,3.40314136125655,"Östergötlands län "
"50-59",61.7,19.2,0.3,16.3,40.3,276,349,26.4492753623188,"Jönköpings län "
"50-59",63.8,13.7,2.5,15.5,7.7,173,183,5.78034682080926,"Kronobergs län "
"50-59",60.9,24.2,1.3,11.5,36.6,182,196,7.69230769230769,"Kalmars län "
"50-59",61.8,19.7,0,24.1,18,44,61,38.6363636363636,"Region Gotland "
"50-59",60.7,19.8,1.2,7.5,45.3,121,172,42.1487603305785,"Blekinge län "
"50-59",63.1,17.7,0.4,16,31,710,919,29.4366197183099,"Region Skåne "
"50-59",61.5,19.8,0.9,16.3,55.4,187,240,28.3422459893048,"Region Halland "
"50-59",60.9,21,1,16.4,55.5,1203,1455,20.9476309226933,"Västra Götalands region "
"50-59",62.1,11.9,0.4,13.2,27.4,208,248,19.2307692307692,"Värmlands län "
"50-59",62.2,19.2,2.4,18.9,37.9,251,273,8.76494023904382,"Örebros län "
"50-59",62.4,17.6,0.9,18.8,24.5,200,274,37,"Västmanlands län "
"50-59",63.3,13.9,0.5,21.9,45.5,241,244,1.24481327800829,"Dalarnas län "
"50-59",61.8,18,1,14.5,15.5,210,206,-1.90476190476191,"Gävleborgs län "
"50-59",59.5,23.4,0,18.5,42.5,163,193,18.4049079754601,"Västernorrlands län "
"50-59",61,16.3,0,22.9,28.1,98,98,0,"Jämtlands län "
"50-59",64.2,14.5,0,18.5,32.9,203,226,11.3300492610837,"Västerbottens län "
"50-59",64.7,10.7,0,13.8,9.5,149,168,12.751677852349,"Norrbotten "
"60+",60.8,18,1.4,11.3,10.4,1554,1837,18.2110682110682,"Stockholms län "
"60+",61.9,20.3,2.4,13.5,11.4,406,450,10.8374384236453,"Uppsalas län "
"60+",61,20.4,1.3,12.4,33.9,286,345,20.6293706293706,"Södermanlands län "
"60+",61.9,15.7,1.1,15.9,24.8,497,577,16.0965794768612,"Östergötlands län "
"60+",61.6,17.8,1.8,13.1,37.8,306,390,27.4509803921569,"Jönköpings län "
"60+",62.6,11.8,1.4,10.9,5.9,290,338,16.551724137931,"Kronobergs län "
"60+",61,21.3,1,11.2,23.7,203,255,25.615763546798,"Kalmars län "
"60+",59.5,18.5,0,17.2,20.2,94,119,26.5957446808511,"Region Gotland "
"60+",59.7,26,0.3,13.1,29.2,257,309,20.2334630350195,"Blekinge län "
"60+",61.6,18.9,2.1,10.6,25.4,1132,1451,28.1802120141343,"Region Skåne "
"60+",59.1,22.1,1.7,11.5,35.6,267,361,35.2059925093633,"Region Halland "
"60+",60.1,21.6,2,12.2,42.7,1683,2163,28.5204991087344,"Västra Götalands region "
"60+",62.8,15.5,2,12.8,14.7,317,368,16.0883280757098,"Värmlands län "
"60+",61.1,19.1,1.4,16,26.2,416,457,9.85576923076923,"Örebros län "
"60+",60.9,15.4,0.6,17.2,8.8,271,377,39.1143911439114,"Västmanlands län "
"60+",62.4,14.5,0.7,14.4,29.1,314,463,47.4522292993631,"Dalarnas län "
"60+",60.5,20.9,2.8,12.3,12.7,300,329,9.66666666666667,"Gävleborgs län "
"60+",60.4,19.6,1.6,11,26.9,248,298,20.1612903225806,"Västernorrlands län "
"60+",61.7,18.6,0.7,15.3,22,145,167,15.1724137931035,"Jämtlands län "
"60+",61.6,20.4,1.9,10.1,27.6,231,287,24.2424242424242,"Västerbottens län "
"60+",62.4,16.4,0,12.9,6.1,170,231,35.8823529411765,"Norrbotten "
